
="",="(1)",="(2)",="(3)",="(4)"
="",="(1.74)",="(2.70)",="(1.21)",="(1.58)"

="Wave=5",="***",="",="***",="*"
="",="(4.29)",="(1.51)",="(3.95)",="(2.38)"

="Wave=6",="***",="***",="**",="**"
="",="(3.68)",="(3.49)",="(2.86)",="(3.22)"

="Wave=7",="***",="***",="***",="***"
="",="(5.09)",="(3.94)",="(5.81)",="(5.07)"

="Wave=8",="***",="***",="***",="***"
="",="(4.57)",="(4.58)",="(5.31)",="(5.97)"

="Wave=9",="***",="***",="***",="***"
="",="(7.48)",="(4.47)",="(11.20)",="(9.27)"

="Wave=10",="***",="***",="***",="***"
="",="(13.19)",="(7.05)",="(6.89)",="(6.46)"

="Wave=11",="***",="***",="***",="***"
="",="(7.62)",="(7.71)",="(6.99)",="(5.64)"

="Wave=12",="***",="***",="***",="***"
="",="(7.84)",="(6.17)",="(6.92)",="(6.35)"

="Wave=13",="***",="***",="***",="***"
="",="(8.38)",="(8.75)",="(8.22)",="(8.61)"

="Wave=14",="***",="***",="***",="***"
="",="(11.06)",="(9.80)",="(7.39)",="(6.85)"

="Wave=15",="***",="***",="***",="***"
="",="(6.03)",="(6.69)",="(7.39)",="(7.42)"

="Wave=16",="***",="***",="***",="***"
="",="(15.17)",="(9.80)",="(9.42)",="(11.39)"

="Wave=17",="***",="***",="***",="***"
="",="(6.10)",="(6.04)",="(7.77)",="(11.18)"

="Wave=18",="***",="***",="***",="***"
="",="(7.13)",="(6.05)",="(7.85)",="(11.21)"

="Wave=19",="***",="***",="***",="***"
="",="(9.30)",="(7.45)",="(12.15)",="(10.34)"

="Technician / Trades",="***",="",="***",=""
="",="(-12.83)",="",="(-17.07)",=""

="Administration",="***",="",="***",=""
="",="(-15.05)",="",="(-16.00)",=""

="Machinery",="***",="",="***",=""
="",="(-14.05)",="",="(-13.26)",=""

="Professional",="***",="",="***",=""
="",="(-3.60)",="",="(-5.01)",=""

="Community / Service",="***",="",="***",=""
="",="(-14.56)",="",="(-20.11)",=""

="Sales",="***",="",="***",=""
="",="(-16.77)",="",="(-15.82)",=""

="Labourer",="***",="",="***",=""
