="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="10.wave",=".1406442",=".1283507",="",=".1243235",=".1287062",=""
="",=".0132857",=".0162124",="",=".0138846",=".0124517",=""
="11.wave",=".1269681",=".1245006",="",=".1227209",=".1236964",=""
="",=".0147822",=".0161306",="",=".0145347",=".0113682",=""
="12.wave",=".1545608",=".1553317",="",=".1217315",=".1271755",=""
="",=".0155823",=".017527",="",=".01478",=".0136176",=""
="13.wave",=".1487423",=".1448202",="",=".1197902",=".1161884",=""
="",=".0134257",=".0152156",="",=".0144688",=".0130781",=""
="14.wave",=".1486374",=".1510851",="",=".1118121",=".1158159",=""
="",=".0136561",=".0158687",="",=".0149422",=".0140297",=""
="15.wave",=".1339042",=".1469353",="",=".1334047",=".1526586",=""
="",=".0146798",=".0153566",="",=".0147497",=".0123547",=""
="16.wave",=".1629017",=".1748544",="",=".1423853",=".1468601",=""
="",=".0149363",=".0169511",="",=".0141492",=".0128464",=""
="17.wave",=".161149",=".1616088",="",=".1494915",=".1422129",=""
="",=".0157063",=".0161786",="",=".0147299",=".013487",=""
="18.wave",=".1769296",=".1835822",="",=".1733766",=".1753945",=""
="",=".0154798",=".0177324",="",=".0146328",=".0125794",=""
="19.wave",=".1836041",=".1905754",="",=".1898004",=".1902506",=""
="",=".0161336",=".0173368",="",=".0135561",=".0118042",=""
="wave",="",="",=".019195",="",="",=".0101465"
="",="",="",=".0020643",="",="",=".0019668"
="occ_tech_trade",="",="-.1366315",="",="",="-.2194388",=""
="",="",=".0191479",="",="",=".0219236",=""
="occ_clerical_admin",="",="-.1586961",="",="",="-.1274249",=""
="",="",=".0170095",="",="",=".0177086",=""
="occ_machinery",="",="-.2233023",="",="",="-.2455378",=""
="",="",=".0169411",="",="",=".0307524",=""
="occ_prof",="",=".012856",="",="",=".031671",=""
="",="",=".0169479",="",="",=".0178302",=""
="occ_community_personal_service",="",="-.1734962",="",="",="-.236052",=""
="",="",=".0227782",="",="",=".0195081",=""
="occ_sales",="",="-.2661006",="",="",="-.2377618",=""
="",="",=".0175359",="",="",=".0168447",=""
="occ_labourer",="",="-.286326",="",="",="-.283247",=""
="",="",=".0201737",="",="",=".0200892",=""
="children_0",="",="",="-.0295632",="",="",="-.0024365"
="",="",="",=".0108012",="",="",=".0091163"
="wave_sq",="",="",="-.0004884",="",="",="-.0000891"
="",="",="",=".0001024",="",="",=".0000937"
="_cons",="2.643314",="2.822215",="2.631615",="2.659463",="2.809588",="2.627819"
="",=".0202292",=".0243414",=".0242156",=".0214384",=".0224649",=".0216444"
="q3",="",="",="",="",="",=""
="sector_public",=".0625921",=".0506711",="",=".1402916",=".1072021",=""
="",=".0140912",=".0124653",="",=".0089996",=".0080211",=""
="experience",=".020642",=".0191515",=".0217465",=".0172477",=".0160119",=".0181428"
="",=".0017551",=".0016156",=".0023006",=".0014452",=".0011674",=".0016629"
="experience_sq",="-.0003538",="-.0003143",="-.0003714",="-.0003173",="-.0002955",="-.0003389"
="",=".0000375",=".0000332",=".0000486",=".000035",=".0000279",=".0000381"
="edu_uni",=".3608388",=".2179028",=".3875686",=".314718",=".1724878",=".3737374"
="",=".018262",=".0152961",=".0162546",=".0088162",=".0114148",=".0099993"
="edu_diploma_cert",=".0901116",=".0580164",=".0975968",=".0528982",=".0416966",=".0709305"
="",=".0113342",=".0109591",=".0116462",=".0090583",=".0074774",=".0106859"
="children_1",=".0177006",=".0152571",="",="-.0263219",="-.0204521",=""
="",=".0122436",=".010795",="",=".0091812",=".0082129",=""
="children_2",=".0699666",=".0559222",="",=".0156929",=".0127132",=""
="",=".0130121",=".0129025",="",=".0110811",=".0089486",=""
="children_3",=".0582785",=".0632483",="",=".0092766",=".014431",=""
="",=".0218444",=".0235074",="",=".0171979",=".0138684",=""
="children_4_plus",=".0157117",=".0130037",="",=".0186715",=".0137251",=""
="",=".0342939",=".0325743",="",=".0275808",=".0329126",=""
="health_poor",="-.0627862",="-.0530414",="-.0687012",="-.0355761",="-.0260832",="-.0384715"
="",=".0123802",=".0112124",=".0102513",=".0069417",=".0063327",=".0082979"
="birth_eng",=".0497459",=".0528775",=".0539576",=".0391155",=".040186",=".043681"
="",=".0184061",=".0178263",=".0154175",=".0123645",=".0093223",=".0143646"
="birth_neng",="-.1056399",="-.084576",="-.1081951",="-.0350558",=".0033451",="-.0545085"
="",=".0165931",=".0161411",=".0194303",=".0142602",=".01019",=".0156866"
="married_yes",=".0785542",=".0597216",=".0798858",=".0164093",=".0189529",=".028175"
="",=".0128185",=".0113616",=".0134009",=".0101303",=".0093538",=".0107519"
="married_sep",="-.0022103",=".0068483",="-.0042842",="-.0224074",="-.0011908",="-.0171778"
="",=".0239836",=".0222238",=".0243726",=".0139509",=".0110957",=".015904"
="urban_no",="-.0811488",="-.059006",="-.0899955",="-.0278872",="-.0105201",="-.0205124"
="",=".0178238",=".0156068",=".0160048",=".0105753",=".0097967",=".0107182"
="state_VIC",="-.028658",="-.0238139",="",="-.0385255",="-.0400925",=""
="",=".0148334",=".0147322",="",=".0108984",=".0110359",=""
="state_WA",=".0496402",=".0401363",="",="-.0068886",="-.00933",=""
="",=".0207504",=".020316",="",=".0143869",=".0123217",=""
="state_QLD",="-.0409079",="-.0346874",="",="-.0468705",="-.0391398",=""
="",=".01497",=".0151087",="",=".0106184",=".0091245",=""
="state_SA",="-.084452",="-.0684586",="",="-.0239077",="-.015777",=""
="",=".0144975",=".0148908",="",=".0135822",=".0103276",=""
="state_NT",="-.0080335",="-.007863",="",="-.0621299",="-.0019681",=""
="",=".0810841",=".0756293",="",=".06248",=".0562814",=""
="state_TAS",="-.1239422",="-.0999631",="",="-.0503654",="-.0447288",=""
="",=".0263997",=".0219435",="",=".0198984",=".0131932",=""
="state_ACT",=".1508906",=".1282925",="",=".0866347",=".0550967",=""
="",=".0342903",=".0281463",="",=".0297349",=".024126",=""
="shiftwork_yes",=".0572822",=".097241",="",=".0216235",=".0459283",=""
="",=".0109409",=".0121975",="",=".0078498",=".0083436",=""
="parttime",="-.0915357",="-.0741633",="-.0910941",="-.029654",="-.0032498",="-.012148"
="",=".0204228",=".016644",=".0183601",=".0091869",=".0066357",=".0089168"
="long_hours",=".0219631",=".00234",="",="-.0311659",="-.0720432",=""
="",=".0115615",=".0083135",="",=".0105235",=".0088645",=""
="casual",="-.0327318",=".0008219",="-.0389883",="-.031237",=".0117032",="-.0500002"
="",=".0136099",=".0118927",=".012877",=".0087126",=".0080615",=".0091226"
="tenure",=".0059489",=".0045754",=".0068011",=".0037376",=".0030131",=".0061117"
="",=".0007482",=".0006232",=".0007458",=".0006185",=".0005616",=".0006766"
="2.wave",=".0086732",="-.0037681",="",=".0039543",="-.0050735",=""
="",=".012614",=".013412",="",=".0107778",=".0128258",=""
="3.wave",=".0095399",=".010004",="",=".0211796",=".0270182",=""
="",=".0146316",=".0140469",="",=".0111363",=".0127879",=""
="4.wave",=".0337769",=".0413964",="",=".0415587",=".0394895",=""
="",=".0150067",=".015895",="",=".0111282",=".0112601",=""
="5.wave",=".0487023",=".0617015",="",=".0497105",=".0454401",=""
="",=".0162141",=".0143033",="",=".0112747",=".012642",=""
="6.wave",=".0801685",=".0773966",="",=".0596344",=".0526535",=""
