"v.n_t","v.results","t","t_inv","s_group"
2527.1,0.0580358405793438,10,0.1,"3"
2532.90909090909,0.0626005825737533,11,0.0909090909090909,"3"
2521.41666666667,0.0639584407406792,12,0.0833333333333333,"3"
2543.76923076923,0.0566459919159486,13,0.0769230769230769,"3"
2541.64285714286,0.0695003652011059,14,0.0714285714285714,"3"
2538.4,0.0536418524020653,15,0.0666666666666667,"3"
2535.25,0.0659124900692222,16,0.0625,"3"
2531.76470588235,0.0595395145824441,17,0.0588235294117647,"3"
2532.88888888889,0.0599208145613917,18,0.0555555555555556,"3"
2534.31578947368,0.0638675269436115,19,0.0526315789473684,"3"
2555.375,0.0849617322168877,8,0.125,"3"
2530.11111111111,0.0370815949272642,9,0.111111111111111,"3"
2543.7,0.063577207514395,10,0.1,"3"
2537.81818181818,0.0681546732428931,11,0.0909090909090909,"3"
2531.33333333333,0.0801774032158254,12,0.0833333333333333,"3"
2530.76923076923,0.0885275021915274,13,0.0769230769230769,"3"
2540.42857142857,0.0605527067373669,14,0.0714285714285714,"3"
2544.86666666667,0.0745125516841303,15,0.0666666666666667,"3"
2535.125,0.0691060087937321,16,0.0625,"3"
2531.76470588235,0.0595395145824441,17,0.0588235294117647,"3"
2534.55555555556,0.0633843126721589,18,0.0555555555555556,"3"
2534.31578947368,0.0638675269436115,19,0.0526315789473684,"3"
2539,0.0661837480409824,8,0.125,"4"
2541.44444444444,0.0764171570470811,9,0.111111111111111,"4"
2539.5,0.0551233672579376,10,0.1,"4"
2539.09090909091,0.0484322297384487,11,0.0909090909090909,"4"
2528.08333333333,0.0540543515832094,12,0.0833333333333333,"4"
2530.61538461538,0.0608502983122213,13,0.0769230769230769,"4"
2541.28571428571,0.0731734592398632,14,0.0714285714285714,"4"
2531.06666666667,0.0593616173951617,15,0.0666666666666667,"4"
2530.875,0.0653193779700442,16,0.0625,"4"
2531.94117647059,0.0647356193598744,17,0.0588235294117647,"4"
2534.33333333333,0.0602243681382322,18,0.0555555555555556,"4"
2534.31578947368,0.0638675269436115,19,0.0526315789473684,"4"
2545.125,0.0713268264841152,8,0.125,"4"
2538.66666666667,0.0654638840444513,9,0.111111111111111,"4"
2529.4,0.0616684501482431,10,0.1,"4"
2527.18181818182,0.0585652717060182,11,0.0909090909090909,"4"
2533.33333333333,0.0453277554490409,12,0.0833333333333333,"4"
2526.76923076923,0.0562498399217484,13,0.0769230769230769,"4"
2537.85714285714,0.0516607674712863,14,0.0714285714285714,"4"
2532.33333333333,0.0649548510435814,15,0.0666666666666667,"4"
2530.4375,0.0596148486304406,16,0.0625,"4"
2536.70588235294,0.0608579645789006,17,0.0588235294117647,"4"
2533.66666666667,0.0600903083071719,18,0.0555555555555556,"4"
2534.31578947368,0.0638675269436115,19,0.0526315789473684,"4"
