
="",="(1)",="(2)",="(3)",="(4)"
="",="(0.00139)",="(0.00213)",="(0.00106)",="(0.00218)"

="Experience^{2}",="-0.000314***",="-0.000375***",="-0.000296***",="-0.000320***"
="",="(0.0000302)",="(0.0000501)",="(0.0000235)",="(0.0000468)"

="University",="0.218***",="0.371***",="0.172***",="0.317***"
="",="(0.0220)",="(0.0199)",="(0.00930)",="(0.00856)"

="Diploma / Cert",="0.0580***",="0.0950***",="0.0417***",="0.0538***"
="",="(0.0115)",="(0.0131)",="(0.00807)",="(0.00926)"

="1 child",="0.0153",="",="-0.0205**",=""
="",="(0.0107)",="",="(0.00712)",=""

="2 children",="0.0559**",="",="0.0127",=""
="",="(0.0190)",="",="(0.0101)",=""

="3 children",="0.0632***",="",="0.0144",=""
="",="(0.0179)",="",="(0.0152)",=""

="4+ children",="0.0130",="",="0.0137",=""
="",="(0.0249)",="",="(0.0142)",=""

="Poor health",="-0.0530***",="-0.0680***",="-0.0261***",="-0.0363***"
="",="(0.0113)",="(0.0116)",="(0.00672)",="(0.00566)"

="Born - Eng speaking",="0.0529*",="0.0574***",="0.0402***",="0.0380***"
="",="(0.0223)",="(0.0143)",="(0.00582)",="(0.00731)"

="Born - Non-Eng speaking",="-0.0846***",="-0.0973***",="0.00335",="-0.0304"
="",="(0.0159)",="(0.0109)",="(0.00863)",="(0.0181)"

="Married / De Facto",="0.0597***",="0.0787***",="0.0190**",="0.0202*"
="",="(0.0128)",="(0.00718)",="(0.00596)",="(0.00896)"

="Seperated / Widowed",="0.00685",="-0.00869",="-0.00119",="-0.0258*"
="",="(0.0260)",="(0.0214)",="(0.0111)",="(0.0109)"

="Rural",="-0.0590***",="-0.0905***",="-0.0105",="-0.0312**"
="",="(0.0133)",="(0.0118)",="(0.0109)",="(0.0114)"

="VIC",="-0.0238",="",="-0.0401***",=""
="",="(0.0158)",="",="(0.01000)",=""

="WA",="0.0401*",="",="-0.00933",=""
="",="(0.0160)",="",="(0.0141)",=""

="QLD",="-0.0347***",="",="-0.0391***",=""
="",="(0.00971)",="",="(0.00881)",=""

="SA",="-0.0685***",="",="-0.0158",=""
="",="(0.0111)",="",="(0.0123)",=""

="NT",="-0.00786",="",="-0.00197",=""
="",="(0.0755)",="",="(0.0357)",=""

="TAS",="-0.1000***",="",="-0.0447*",=""
="",="(0.0153)",="",="(0.0195)",=""

="ACT",="0.128***",="",="0.0551*",=""
="",="(0.0309)",="",="(0.0279)",=""

="Shiftwork",="0.0972***",="",="0.0459***",=""
="",="(0.00758)",="",="(0.00682)",=""

="Part Time",="-0.0742***",="-0.0954***",="-0.00325",="-0.0165"
="",="(0.0208)",="(0.0190)",="(0.00705)",="(0.0100)"

="41+ hours",="0.00234",="",="-0.0720***",=""
="",="(0.00696)",="",="(0.00779)",=""

="Casual",="0.000822",="-0.0311*",="0.0117",="-0.0309**"
="",="(0.0128)",="(0.0136)",="(0.0101)",="(0.0107)"

="Tenure",="0.00458***",="0.00591***",="0.00301***",="0.00375***"
="",="(0.000470)",="(0.000537)",="(0.000462)",="(0.000660)"

="Technician / Trades",="-0.175***",="",="-0.300***",=""
="",="(0.0143)",="",="(0.0314)",=""

="Administration",="-0.224***",="",="-0.192***",=""
="",="(0.0152)",="",="(0.0164)",=""

="Machinery",="-0.291***",="",="-0.337***",=""
="",="(0.0160)",="",="(0.0363)",=""

="Professional",="-0.0213",="",="-0.0101",=""
="",="(0.0169)",="",="(0.0137)",=""

="Community / Service",="-0.240***",="",="-0.301***",=""
="",="(0.0167)",="",="(0.0222)",=""

="Sales",="-0.333***",="",="-0.322***",=""
="",="(0.0145)",="",="(0.0270)",=""

="Labourer",="-0.352***",="",="-0.368***",=""
="",="(0.0139)",="",="(0.0256)",=""

="Children",="",="0.0412***",="",="-0.00295"
="",="",="(0.00824)",="",="(0.00651)"

="Constant",="3.025***",="2.772***",="3.028***",="2.772***"
="",="(0.0202)",="(0.0235)",="(0.0300)",="(0.0263)"

="q4",="",="",="",=""
="Public Sector",="-0.0195",="-0.00628",="0.0652***",="0.109***"
="",="(0.0129)",="(0.0171)",="(0.00665)",="(0.0129)"

="Experience",="0.0225***",="0.0271***",="0.0161***",="0.0210***"
="",="(0.00246)",="(0.00297)",="(0.00132)",="(0.00219)"

="Experience^{2}",="-0.000360***",="-0.000444***",="-0.000279***",="-0.000384***"
="",="(0.0000506)",="(0.0000691)",="(0.0000300)",="(0.0000456)"

="University",="0.264***",="0.434***",="0.172***",="0.368***"
="",="(0.0240)",="(0.0286)",="(0.0114)",="(0.00912)"

="Diploma / Cert",="0.0589***",="0.103***",="0.0354**",="0.0628***"
="",="(0.0118)",="(0.0227)",="(0.0110)",="(0.0122)"

="1 child",="0.0139",="",="-0.0202*",=""
="",="(0.0155)",="",="(0.00986)",=""

="2 children",="0.0610**",="",="0.00573",=""
="",="(0.0221)",="",="(0.00936)",=""

="3 children",="0.0739*",="",="0.0227",=""
="",="(0.0367)",="",="(0.0259)",=""

="4+ children",="0.00482",="",="0.0465",=""
="",="(0.0351)",="",="(0.0387)",=""

="Poor health",="-0.0545***",="-0.0668***",="-0.0355***",="-0.0406***"
="",="(0.0140)",="(0.0125)",="(0.00868)",="(0.00680)"

="Born - Eng speaking",="0.0542*",="0.0735***",="0.0212",="0.0284*"
="",="(0.0244)",="(0.0154)",="(0.0124)",="(0.0142)"

="Born - Non-Eng speaking",="-0.0876**",="-0.102***",="0.0203*",="0.00274"
="",="(0.0321)",="(0.0174)",="(0.0102)",="(0.0243)"

="Married / De Facto",="0.0865***",="0.0776***",="0.0327**",="0.0325***"
="",="(0.0159)",="(0.0135)",="(0.0108)",="(0.00669)"

="Seperated / Widowed",="0.0145",="0.00572",="-0.00255",="-0.0306*"
="",="(0.0263)",="(0.0300)",="(0.0195)",="(0.0128)"

="Rural",="-0.0565***",="-0.0907***",="-0.0133",="-0.0300*"
="",="(0.0154)",="(0.0223)",="(0.0115)",="(0.0147)"

="VIC",="-0.0214",="",="-0.0360**",=""
="",="(0.0151)",="",="(0.0126)",=""

="WA",="0.0871***",="",="-0.00631",=""
="",="(0.0158)",="",="(0.0176)",=""

="QLD",="-0.0296",="",="-0.0602***",=""
="",="(0.0197)",="",="(0.00752)",=""

="SA",="-0.114***",="",="-0.0429**",=""
="",="(0.0189)",="",="(0.0146)",=""

="NT",="0.0809",="",="-0.00340",=""
="",="(0.0859)",="",="(0.0299)",=""

="TAS",="-0.132***",="",="-0.0677***",=""
="",="(0.0203)",="",="(0.0203)",=""

="ACT",="0.0966",="",="0.0580**",=""
="",="(0.0499)",="",="(0.0193)",=""

="Shiftwork",="0.141***",="",="0.0785***",=""
="",="(0.0104)",="",="(0.00908)",=""

="Part Time",="-0.0365*",="-0.0735***",="0.0148",="-0.00901"
="",="(0.0181)",="(0.0223)",="(0.0122)",="(0.0135)"

="41+ hours",="0.0158",="",="-0.0377***",=""
="",="(0.0101)",="",="(0.00862)",=""

="Casual",="0.0263",="-0.00784",="0.0384*",="-0.00392"
="",="(0.0168)",="(0.0209)",="(0.0152)",="(0.0113)"

="Tenure",="0.00449***",="0.00531***",="0.00214**",="0.00341***"
="",="(0.000300)",="(0.000822)",="(0.000722)",="(0.000846)"

="Technician / Trades",="-0.213***",="",="-0.411***",=""
="",="(0.0166)",="",="(0.0241)",=""

="Administration",="-0.273***",="",="-0.286***",=""
="",="(0.0181)",="",="(0.0179)",=""

="Machinery",="-0.329***",="",="-0.466***",=""
="",="(0.0234)",="",="(0.0351)",=""

="Professional",="-0.0486***",="",="-0.0722***",=""
="",="(0.0135)",="",="(0.0144)",=""

="Community / Service",="-0.311***",="",="-0.410***",=""
="",="(0.0214)",="",="(0.0204)",=""

="Sales",="-0.392***",="",="-0.449***",=""
="",="(0.0234)",="",="(0.0284)",=""

="Labourer",="-0.411***",="",="-0.484***",=""
="",="(0.0244)",="",="(0.0290)",=""

="Children",="",="0.0497***",="",="-0.00400"
="",="",="(0.00904)",="",="(0.00754)"

="Constant",="3.217***",="2.953***",="3.275***",="2.907***"
="",="(0.0197)",="(0.0313)",="(0.0257)",="(0.0298)"

="q5",="",="",="",=""
="Public Sector",="-0.0893***",="-0.101***",="0.0215",="0.0412"
="",="(0.0125)",="(0.0248)",="(0.0144)",="(0.0234)"

="Experience",="0.0266***",="0.0319***",="0.0208***",="0.0257***"
="",="(0.00305)",="(0.00457)",="(0.00101)",="(0.00340)"

="Experience^{2}",="-0.000406***",="-0.000502***",="-0.000367***",="-0.000442***"
="",="(0.0000542)",="(0.0000928)",="(0.0000265)",="(0.0000669)"

="University",="0.296***",="0.457***",="0.202***",="0.407***"
="",="(0.0265)",="(0.0291)",="(0.0206)",="(0.0165)"

="Diploma / Cert",="0.0524*",="0.0696*",="0.0434**",="0.0853***"
="",="(0.0214)",="(0.0272)",="(0.0159)",="(0.0110)"

="1 child",="0.0374",="",="-0.0148",=""
="",="(0.0232)",="",="(0.0177)",=""

="2 children",="0.0602*",="",="-0.0139",=""
="",="(0.0253)",="",="(0.0171)",=""

="3 children",="0.0966*",="",="0.00160",=""
="",="(0.0375)",="",="(0.0379)",=""

="4+ children",="0.00695",="",="0.0344",=""
="",="(0.0277)",="",="(0.0585)",=""

="Poor health",="-0.0618**",="-0.0766***",="-0.0419***",="-0.0629***"
="",="(0.0213)",="(0.0179)",="(0.0123)",="(0.0140)"

="Born - Eng speaking",="0.0685*",="0.0832***",="0.0189",="0.0220"
="",="(0.0320)",="(0.0199)",="(0.0245)",="(0.0299)"

="Born - Non-Eng speaking",="-0.0963***",="-0.130***",="0.0131",="0.0183"
="",="(0.0278)",="(0.0264)",="(0.0116)",="(0.0212)"

="Married / De Facto",="0.0835***",="0.104***",="0.0383*",="0.0292"
="",="(0.0242)",="(0.0265)",="(0.0171)",="(0.0159)"

="Seperated / Widowed",="-0.00339",="0.0206",="-0.00636",="-0.0346"
="",="(0.0294)",="(0.0437)",="(0.0303)",="(0.0178)"

="Rural",="-0.0477*",="-0.0701**",="-0.000499",="0.00938"
="",="(0.0195)",="(0.0265)",="(0.0248)",="(0.0147)"

="VIC",="-0.0129",="",="-0.0669***",=""
="",="(0.0234)",="",="(0.0143)",=""

="WA",="0.0993**",="",="-0.0273",=""
="",="(0.0374)",="",="(0.0210)",=""

="QLD",="-0.00441",="",="-0.0989***",=""
="",="(0.0289)",="",="(0.0205)",=""

="SA",="-0.160***",="",="-0.0892***",=""
="",="(0.0201)",="",="(0.0183)",=""

="NT",="0.115",="",="-0.0318",=""
="",="(0.200)",="",="(0.0942)",=""

="TAS",="-0.179***",="",="-0.122**",=""
="",="(0.0328)",="",="(0.0387)",=""

="ACT",="0.106***",="",="0.0111",=""
="",="(0.0273)",="",="(0.0302)",=""

="Shiftwork",="0.182***",="",="0.108***",=""
="",="(0.0113)",="",="(0.0135)",=""

="Part Time",="0.0258",="0.00745",="0.0455**",="0.0300*"
="",="(0.0241)",="(0.0239)",="(0.0138)",="(0.0120)"

