="",="(1)",="(2)",="(3)",="(4)"
="Wave=7",="0.094***",="0.092***",="0.090***",="0.099***"
="",="(0.019)",="(0.015)",="(0.013)",="(0.013)"
="Wave=8",="0.086***",="0.080***",="0.098***",="0.105***"
="",="(0.015)",="(0.015)",="(0.013)",="(0.014)"
="Wave=9",="0.118***",="0.113***",="0.112***",="0.115***"
="",="(0.014)",="(0.014)",="(0.014)",="(0.013)"
="Wave=10",="0.128***",="0.135***",="0.129***",="0.126***"
="",="(0.015)",="(0.013)",="(0.013)",="(0.012)"
="Wave=11",="0.125***",="0.121***",="0.124***",="0.125***"
="",="(0.014)",="(0.014)",="(0.013)",="(0.012)"
="Wave=12",="0.155***",="0.147***",="0.127***",="0.127***"
="",="(0.017)",="(0.015)",="(0.013)",="(0.012)"
="Wave=13",="0.145***",="0.144***",="0.116***",="0.120***"
="",="(0.014)",="(0.013)",="(0.013)",="(0.012)"
="Wave=14",="0.151***",="0.142***",="0.116***",="0.118***"
="",="(0.014)",="(0.014)",="(0.015)",="(0.014)"
="Wave=15",="0.147***",="0.132***",="0.153***",="0.139***"
="",="(0.015)",="(0.013)",="(0.012)",="(0.013)"
="Wave=16",="0.175***",="0.168***",="0.147***",="0.151***"
="",="(0.016)",="(0.014)",="(0.015)",="(0.013)"
="Wave=17",="0.162***",="0.164***",="0.142***",="0.155***"
="",="(0.015)",="(0.013)",="(0.013)",="(0.015)"
="Wave=18",="0.184***",="0.172***",="0.175***",="0.181***"
="",="(0.016)",="(0.014)",="(0.014)",="(0.014)"
="Wave=19",="0.191***",="0.180***",="0.190***",="0.195***"
="",="(0.015)",="(0.016)",="(0.012)",="(0.013)"
="Technician / Trades",="-0.137***",="",="-0.219***",=""
="",="(0.018)",="",="(0.020)",=""
="Administration",="-0.159***",="",="-0.127***",=""
="",="(0.016)",="",="(0.015)",=""
="Machinery",="-0.223***",="",="-0.246***",=""
="",="(0.018)",="",="(0.034)",=""
="Professional",="0.013",="",="0.032**",=""
="",="(0.016)",="",="(0.016)",=""
="Community / Service",="-0.173***",="",="-0.236***",=""
="",="(0.019)",="",="(0.018)",=""
="Sales",="-0.266***",="",="-0.238***",=""
="",="(0.020)",="",="(0.017)",=""
="Labourer",="-0.286***",="",="-0.283***",=""
="",="(0.018)",="",="(0.018)",=""
="Children",="",="0.029***",="",="-0.001"
="",="",="(0.011)",="",="(0.008)"
="Constant",="2.822***",="2.634***",="2.810***",="2.626***"
="",="(0.024)",="(0.018)",="(0.021)",="(0.018)"
="q3",="",="",="",=""
="Public Sector",="0.051***",="0.072***",="0.107***",="0.146***"
="",="(0.013)",="(0.016)",="(0.008)",="(0.011)"
="Experience",="0.019***",="0.022***",="0.016***",="0.017***"
="",="(0.002)",="(0.002)",="(0.001)",="(0.002)"
="Experience^{2}",="-0.000***",="-0.000***",="-0.000***",="-0.000***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="University",="0.218***",="0.371***",="0.172***",="0.317***"
="",="(0.016)",="(0.017)",="(0.011)",="(0.011)"
="Diploma / Cert",="0.058***",="0.095***",="0.042***",="0.054***"
="",="(0.010)",="(0.012)",="(0.008)",="(0.009)"
="1 child",="0.015",="",="-0.020***",=""
="",="(0.011)",="",="(0.008)",=""
="2 children",="0.056***",="",="0.013",=""
="",="(0.012)",="",="(0.009)",=""
="3 children",="0.063***",="",="0.014",=""
="",="(0.021)",="",="(0.014)",=""
="4+ children",="0.013",="",="0.014",=""
="",="(0.035)",="",="(0.028)",=""
="Poor health",="-0.053***",="-0.068***",="-0.026***",="-0.036***"
="",="(0.010)",="(0.011)",="(0.007)",="(0.008)"
="Born - Eng speaking",="0.053***",="0.057***",="0.040***",="0.038***"
="",="(0.017)",="(0.019)",="(0.010)",="(0.012)"
="Born - Non-Eng speaking",="-0.085***",="-0.097***",="0.003",="-0.030**"
="",="(0.015)",="(0.020)",="(0.011)",="(0.013)"
="Married / De Facto",="0.060***",="0.079***",="0.019**",="0.020*"
="",="(0.012)",="(0.014)",="(0.009)",="(0.011)"
="Seperated / Widowed",="0.007",="-0.009",="-0.001",="-0.026*"
="",="(0.023)",="(0.025)",="(0.012)",="(0.015)"
="Rural",="-0.059***",="-0.091***",="-0.011",="-0.031***"
="",="(0.016)",="(0.016)",="(0.009)",="(0.011)"
="VIC",="-0.024*",="",="-0.040***",=""
="",="(0.014)",="",="(0.010)",=""
="WA",="0.040**",="",="-0.009",=""
="",="(0.019)",="",="(0.013)",=""
="QLD",="-0.035**",="",="-0.039***",=""
="",="(0.014)",="",="(0.009)",=""
="SA",="-0.068***",="",="-0.016",=""
="",="(0.014)",="",="(0.012)",=""
="NT",="-0.008",="",="-0.002",=""
="",="(0.068)",="",="(0.054)",=""
="TAS",="-0.100***",="",="-0.045***",=""
="",="(0.022)",="",="(0.015)",=""
="ACT",="0.128***",="",="0.055**",=""
="",="(0.029)",="",="(0.023)",=""
="Shiftwork",="0.097***",="",="0.046***",=""
="",="(0.012)",="",="(0.008)",=""
="Part Time",="-0.074***",="-0.095***",="-0.003",="-0.016**"
="",="(0.017)",="(0.019)",="(0.007)",="(0.008)"
="41+ hours",="0.002",="",="-0.072***",=""
="",="(0.009)",="",="(0.009)",=""
="Casual",="0.001",="-0.031**",="0.012",="-0.031***"
="",="(0.012)",="(0.012)",="(0.008)",="(0.010)"
="Tenure",="0.005***",="0.006***",="0.003***",="0.004***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="Wave=2",="-0.004",="0.004",="-0.005",="0.007"
="",="(0.013)",="(0.014)",="(0.012)",="(0.010)"
="Wave=3",="0.010",="0.013",="0.027**",="0.017"
="",="(0.017)",="(0.015)",="(0.012)",="(0.012)"
="Wave=4",="0.041***",="0.026*",="0.039***",="0.038***"
="",="(0.016)",="(0.015)",="(0.012)",="(0.011)"
="Wave=5",="0.062***",="0.046***",="0.045***",="0.052***"
="",="(0.016)",="(0.016)",="(0.013)",="(0.012)"
="Wave=6",="0.077***",="0.078***",="0.053***",="0.062***"
="",="(0.015)",="(0.013)",="(0.012)",="(0.011)"
="Wave=7",="0.095***",="0.099***",="0.087***",="0.087***"
="",="(0.016)",="(0.016)",="(0.012)",="(0.013)"
="Wave=8",="0.084***",="0.093***",="0.087***",="0.101***"
="",="(0.016)",="(0.014)",="(0.012)",="(0.011)"
="Wave=9",="0.106***",="0.110***",="0.109***",="0.112***"
="",="(0.014)",="(0.015)",="(0.012)",="(0.013)"
="Wave=10",="0.133***",="0.130***",="0.121***",="0.122***"
="",="(0.015)",="(0.015)",="(0.012)",="(0.011)"
="Wave=11",="0.129***",="0.124***",="0.118***",="0.126***"
="",="(0.016)",="(0.015)",="(0.011)",="(0.012)"
="Wave=12",="0.158***",="0.151***",="0.116***",="0.121***"
="",="(0.015)",="(0.016)",="(0.012)",="(0.011)"
="Wave=13",="0.145***",="0.145***",="0.113***",="0.113***"
="",="(0.016)",="(0.016)",="(0.012)",="(0.011)"
="Wave=14",="0.149***",="0.153***",="0.124***",="0.123***"
="",="(0.015)",="(0.014)",="(0.012)",="(0.012)"
="Wave=15",="0.139***",="0.127***",="0.138***",="0.137***"
="",="(0.015)",="(0.015)",="(0.013)",="(0.012)"
="Wave=16",="0.173***",="0.180***",="0.140***",="0.148***"
="",="(0.016)",="(0.015)",="(0.013)",="(0.012)"
="Wave=17",="0.166***",="0.153***",="0.148***",="0.142***"
="",="(0.016)",="(0.015)",="(0.013)",="(0.012)"
="Wave=18",="0.165***",="0.166***",="0.162***",="0.170***"
="",="(0.015)",="(0.014)",="(0.012)",="(0.011)"
